,Unnamed: 0,post_id,content_series,platform,url,impressions,likes,comments,post_content
0,101854,30067004,,instagram,https://www.instagram.com/p/C1j0R5lrqqY/,7093257,1540690.0,57073.0,"Flamengo | Hoje, o Flamengo chora. Perdemos um dos nossos. Adenir Silva, o nosso Deni, nos deixou aos 75 anos. Um pilar de nossos valores, um s�... | Instagram"
1,101841,30169370,,instagram,https://www.instagram.com/p/C1xUgpXRyQV/,4971113,1079568.0,19699.0,"Flamengo | O número 7 é associado com a sabedoria. Essa história começou em 2017, quando um casal decidiu voltar ao Brasil. Era um momento que... | Instagram"
2,94447,31975627,,instagram,https://www.instagram.com/p/C6KvJb1Mrfy/,2820793,244271.0,31257.0,Flamengo | Fim de jogo. Bolívar 2 x 1 Flamengo.#CRF #VamosFlamengo📸 Gilvan de Souza / CRF | Instagram
3,101778,30346019,,instagram,https://www.instagram.com/p/C2PR7OWAsbW/,3067408,604598.0,13214.0,Flamengo | O Clube de Regatas do Flamengo informa que o ex-atleta Filipe Luís é o novo técnico do Sub-17 rubro-negro. O profissional inicia os tr... | Instagram
4,101780,30333143,,instagram,https://www.instagram.com/p/C2OZGQDswfp/,4013063,796471.0,11255.0,"Flamengo | FIMMMMM DE JOGO em Manaus! O MENGÃO estreia com o pé direito no @Cariocao! Goleada de 4 a 0 sobre o Audax com gols de Léo Pereira, Ped... | Instagram"
5,101821,30209446,,instagram,https://www.instagram.com/p/C1-PpdcxT44/,4371510,767480.0,10211.0,"Flamengo | Nascido pra eternidade. Nascido pra essas cores...Gabriel Barbosa, Gabi... gol. Há exatos cinco anos, nossos destinos se entrelaçavam... | Instagram"
6,94486,31744706,,instagram,https://www.instagram.com/p/C5wb7ZpxdJp/,3578384,682991.0,13133.0,"Flamengo | FIMMMMM DE JOGO no Serra Dourada! O MENGÃO vence o Atlético-GO por 2 a 1, pelo Brasileirão, com gols de De La Cruz e Pedro! #CRF #Va... | Instagram"
7,94516,31637594,,instagram,https://www.instagram.com/p/C5efmMRN4iA/,4729861,943895.0,13079.0,"Flamengo | ALÔ, NAÇÃO! #ERGAATAÇA - MAIS UMA PRA CONTA! PELA 38ª VEZ, FLAMENGO NO TOPO DO RIO DE JANEIRO! | Instagram"
8,94527,31546652,,instagram,https://www.instagram.com/p/C5R0jwVMXyS/,2679234,351214.0,16740.0,Flamengo | Fim de jogo em Bogotá. O Flamengo fica no empate em 1 a 1 com o Millonarios.#VamosFlamengo #CRF | Instagram
9,101834,30168928,,instagram,https://www.instagram.com/p/C12f2DyRB4T/,4071594,704910.0,8657.0,"Flamengo | Nova temporada, novo número! 🔴⚫️Pra cima, LA7️⃣! #VamosFlamengo #CRF 📸: Marcelo Cortes /CRF | Instagram"
